iter	RMSE
315	7.733040206
316	7.732552206
317	7.732093837
318	7.731583426
319	7.731230362
320	7.730758613
321	7.730193074
322	7.729723172
323	7.729347872
324	7.72883119
325	7.728368579
326	7.72794476
327	7.727403271
328	7.726903458
329	7.726376981
330	7.725835743
331	7.725380175
332	7.724877532
333	7.724373924
334	7.723841037
335	7.723352753
336	7.722915287
337	7.722255353
338	7.721731211
339	7.721233284
340	7.7207271
341	7.720168439
342	7.719546138
343	7.719090448
344	7.718583117
345	7.718019468
346	7.717463938
347	7.716929085
348	7.716471709
349	7.716097342
350	7.715558122
351	7.715049724
352	7.714508219
353	7.714152273
354	7.713518966
355	7.713071369
356	7.712639423
357	7.712195264
358	7.711744192
359	7.711291995
360	7.710866111
361	7.710463551
362	7.710018334
363	7.709653958
364	7.709157585
365	7.708778346
366	7.708421973
367	7.707840927
368	7.707412358
369	7.706999041
370	7.706538242
371	7.706182132
372	7.705691881
373	7.705079488
374	7.704596936
375	7.704183535
376	7.703727022
377	7.703201583
378	7.70275199
379	7.702268921
380	7.701885223
381	7.701447646
382	7.701009168
383	7.700505186
384	7.699958236
385	7.69950502
386	7.699029785
387	7.698522885
388	7.698057628
389	7.697562319
390	7.697031221
391	7.696547266
392	7.696161103
393	7.695624616
394	7.695156655
395	7.69476014
396	7.694348408
397	7.693821442
398	7.693302389
399	7.69280383
400	7.692387847
401	7.691886881
402	7.691419635
403	7.691086439
404	7.690694545
405	7.690207027
406	7.689727774
407	7.689189242
408	7.688722508
409	7.688237341
410	7.687682027
411	7.687163419
412	7.686673197
413	7.686267253
414	7.685804059
415	7.685374118
416	7.684935811
417	7.684570466
418	7.684148108
419	7.683606925
420	7.683324464
421	7.682990811
422	7.682529074
423	7.68214447
424	7.681680407
425	7.681249388
426	7.68090459
427	7.680391937
428	7.67992151
429	7.679424529
430	7.678850144
431	7.678315493
432	7.677829897
433	7.67732518
434	7.676757083
435	7.676232481
436	7.675826621
437	7.675378631
438	7.674900523
439	7.67445781
440	7.674031543
441	7.673603197
442	7.673100545
443	7.672604027
444	7.672092524
445	7.671591061
446	7.67110909
447	7.670617666
448	7.670160674
449	7.669653564
450	7.669209141
451	7.668713431
452	7.668205371
453	7.667708759
454	7.667201166
455	7.666761293
456	7.66623693
457	7.665795957
458	7.665260111
459	7.664782805
460	7.664288905
461	7.663891809
462	7.663355951
463	7.662913171
464	7.66239128
465	7.661949973
466	7.661496417
467	7.661057712
468	7.66055736
469	7.660126476
470	7.659561542
471	7.659060106
472	7.658475615
473	7.658030601
474	7.657514584
475	7.657143946
476	7.656712208
477	7.656252066
478	7.655807462
479	7.655478246
480	7.655105987
481	7.654505637
482	7.654076332
483	7.653676298
484	7.653217199
485	7.652817657
486	7.652361886
487	7.651977476
488	7.65149518
489	7.651019534
490	7.65053137
491	7.650177842
492	7.649781447
493	7.649380418
494	7.648972146
495	7.648516947
496	7.647998921
497	7.647499247
498	7.647037964
499	7.64649617
500	7.645978775
501	7.645485892
502	7.645030213
503	7.644544317
504	7.644063909
505	7.643547909
506	7.643109385
507	7.642655594
508	7.642291018
509	7.641694491
510	7.64119139
511	7.640703505
512	7.640260648
513	7.63974374
514	7.639280067
515	7.638909266
516	7.638511282
517	7.6379994
518	7.637550691
519	7.637065221
520	7.636603799
521	7.636146539
522	7.635710473
523	7.635175761
524	7.634661689
525	7.634192246
526	7.633780547
527	7.633248487
528	7.632719197
529	7.632205817
530	7.631787607
531	7.631206005
532	7.630768528
533	7.630294738
534	7.629793663
535	7.629373808
536	7.629005405
537	7.628555483
538	7.628139596
539	7.627602446
540	7.627094243
541	7.626613783
542	7.626186686
543	7.625869791
544	7.625396117
545	7.624981479
546	7.624544105
547	7.624076058
548	7.623622052
549	7.623086234
550	7.622686152
551	7.622227514
552	7.621852156
553	7.621443823
554	7.62090677
555	7.620601377
556	7.620246989
557	7.619769263
558	7.619265399
559	7.61873063
560	7.618233912
561	7.617742078
562	7.617201601
563	7.616658878
564	7.616284629
565	7.615766976
566	7.615326054
567	7.614912602
568	7.61460404
569	7.614200265
570	7.613746511
571	7.613303962
572	7.612812429
573	7.612402294
574	7.611865048
575	7.61135792
576	7.611053898
577	7.610629678
578	7.610181326
579	7.609771821
580	7.609386443
581	7.608961176
582	7.608593056
583	7.60812698
584	7.60766726
585	7.607131165
586	7.606670431
587	7.606407951
588	7.60594141
589	7.605609929
590	7.605128739
591	7.604724655
592	7.604162146
593	7.603763422
594	7.60333125
595	7.602916367
596	7.602610102
597	7.602175352
598	7.6017867
599	7.601491252
600	7.601022622
601	7.600588161
602	7.600104548
603	7.599820818
604	7.599369532
605	7.599004493
606	7.598636984
607	7.598332335
608	7.597845017
609	7.597569174
610	7.597040942
611	7.596592953
612	7.596166877
613	7.595764495
614	7.595411541
615	7.594911913
616	7.59447602
617	7.593904126
618	7.593396019
619	7.592907749
620	7.592582746
621	7.59208587
622	7.591675196
623	7.591220314
624	7.590778015
625	7.590382597
626	7.589946361
627	7.589694707
628	7.589185407
629	7.588844389
630	7.588419452
631	7.587888725
632	7.58753533
633	7.587046216
634	7.586607505
635	7.586200323
636	7.585801628
637	7.585355497
638	7.584925154
639	7.584408241
640	7.583902448
641	7.583487893
642	7.583024326
643	7.582557639
644	7.582117338
645	7.581598843
646	7.581056391
647	7.58063583
648	7.58033084
649	7.579875177
650	7.579308421
651	7.578944059
652	7.57857947
653	7.578006826
654	7.577439773
655	7.577041354
656	7.576586421
657	7.576109334
658	7.575611593
659	7.575236866
660	7.574825059
661	7.574369238
662	7.573996304
663	7.573528548
664	7.573112679
665	7.572777775
666	7.572358072
667	7.571958389
668	7.571558266
669	7.571105192
670	7.570613623
671	7.570178125
672	7.569718675
673	7.569199884
674	7.568691557
675	7.568276196
676	7.567938443
677	7.567494817
678	7.567051938
679	7.56659891
680	7.566210374
681	7.565730317
682	7.565241852
683	7.564988625
684	7.564526797
685	7.564108457
686	7.563722268
687	7.56329306
688	7.562815952
689	7.562398928
690	7.561972347
691	7.561461986
692	7.561030067
693	7.560563674
694	7.56019925
695	7.559673166
696	7.559246877
697	7.558965851
698	7.558555212
699	7.558151906
700	7.557759624
701	7.557484597
702	7.556987979
703	7.5564748
704	7.556191673
705	7.555679997
706	7.555180174
707	7.554691329
708	7.554322007
709	7.553882635
710	7.553531574
711	7.55301276
712	7.55258961
713	7.552155541
714	7.551714293
715	7.551312209
716	7.550848763
717	7.550417757
718	7.549891555
719	7.54948871
720	7.549028248
721	7.548610349
722	7.548093395
723	7.547737911
724	7.547321143
725	7.546950032
726	7.54655502
727	7.546096799
728	7.545641672
729	7.545223714
730	7.544888751
731	7.544429413
732	7.544034587
733	7.543537206
734	7.543196221
735	7.542706864
736	7.54235436
737	7.541965653
738	7.541502634
739	7.541017363
740	7.540622996
741	7.54013667
742	7.539733878
743	7.539309097
744	7.538863024
745	7.538491724
746	7.538064394
747	7.537692315
748	7.537266956
749	7.536817601
750	7.53643697
751	7.536159481
752	7.535758453
753	7.53533801
754	7.535044576
755	7.534537036
756	7.534122258
757	7.533665294
758	7.53333175
759	7.532894842
760	7.532545163
761	7.531981167
762	7.531587942
763	7.531127289
764	7.530658478
765	7.530208543
766	7.529793377
767	7.529374412
768	7.529094808
769	7.528620947
770	7.528188069
771	7.527766228
772	7.527322955
773	7.526861276
774	7.526429855
775	7.526146937
776	7.525764056
777	7.525337944
778	7.524977706
779	7.524569682
780	7.524129216
781	7.523780382
782	7.523273823
783	7.522843896
784	7.522468495
785	7.521902387
786	7.521487814
787	7.521082728
788	7.520757833
789	7.520381156
790	7.519942487
791	7.519504478
792	7.519211494
793	7.518853079
794	7.518479155
795	7.518080163
796	7.517675527
797	7.51722369
798	7.516767126
799	7.516247182
800	7.51574402
801	7.515318437
802	7.515073086
803	7.514667277
804	7.514247006
805	7.513820045
806	7.513325339
807	7.512840086
808	7.512336444
809	7.511859726
810	7.511509453
811	7.511243991
812	7.510782831
813	7.510258928
814	7.509845777
815	7.509529411
816	7.509066219
817	7.508621333
818	7.508221089
819	7.507949446
820	7.507544325
821	7.50712983
822	7.506720758
823	7.506299522
824	7.505797008
825	7.505381714
826	7.504953783
827	7.504536873
828	7.504186566
829	7.503721108
830	7.503338422
831	7.502805165
832	7.502422703
833	7.502026986
834	7.501564877
835	7.501026159
836	7.500560148
837	7.500165467
838	7.499757354
839	7.499354696
840	7.498840995
841	7.498357179
842	7.497940356
843	7.497547109
844	7.497122508
845	7.496764402
846	7.496303474
847	7.495859749
848	7.495420333
849	7.494948415
850	7.494497986
851	7.494013372
852	7.493568691
853	7.493164086
854	7.492676412
855	7.49213266
856	7.491685637
857	7.491156398
858	7.490671617
859	7.490341126
860	7.489826417
861	7.489413845
862	7.488958507
863	7.488517467
864	7.487958566
865	7.487525818
866	7.487077346
867	7.486573798
868	7.486229311
869	7.485827031
870	7.485364874
871	7.484889295
872	7.484410063
873	7.483992182
874	7.483626919
875	7.483084066
876	7.482637752
877	7.482124339
878	7.481726184
879	7.481365431
880	7.480927064
881	7.480524882
882	7.480134549
883	7.479680598
884	7.479393637
885	7.478968598
886	7.478532178
887	7.478149279
888	7.477629798
889	7.477159867
890	7.476722679
891	7.476197009
892	7.475728001
893	7.475317929
894	7.474855399
895	7.474400905
896	7.474061906
897	7.473652253
898	7.473170029
899	7.472722643
900	7.472267421
901	7.471994252
902	7.471535846
903	7.471205196
904	7.470758001
905	7.47029602
906	7.469851504
907	7.469347725
908	7.468974362
909	7.468511359
910	7.468033342
911	7.467536239
912	7.467107788
913	7.466653272
914	7.466123323
915	7.46571029
916	7.465352266
917	7.464904053
918	7.464481234
919	7.46415161
920	7.463720972
921	7.463345766
922	7.462968661
923	7.462495687
924	7.462106925
925	7.461708318
926	7.461394122
927	7.460914599
928	7.460526211
929	7.460156257
930	7.459728903
931	7.459341332
932	7.458959124
933	7.458587313
934	7.458218501
935	7.457743589
936	7.457280941
937	7.456975051
938	7.456602416
939	7.456161603
940	7.455734023
941	7.455471816
942	7.455088568
943	7.454648379
944	7.45414525
945	7.453641866
946	7.453329035
947	7.452908555
948	7.452447108
949	7.452028904
950	7.451722363
951	7.451285039
952	7.450901347
953	7.450511078
954	7.450109439
955	7.449689177
956	7.449253401
957	7.448862923
958	7.448370163
959	7.448038247
960	7.4475354
961	7.447156775
962	7.446804755
963	7.446339837
964	7.445978338
965	7.445623318
966	7.445262615
967	7.444811722
968	7.444294893
969	7.443907869
970	7.443411603
971	7.442956577
972	7.442558462
973	7.442258702
974	7.441940405
975	7.441493493
976	7.441115604
977	7.440670579
978	7.440226033
979	7.439728229
980	7.439343923
981	7.438845398
982	7.438370893
983	7.438045933
984	7.437692537
985	7.437227385
986	7.436771133
987	7.436362376
988	7.435933103
989	7.435407958
990	7.434980317
991	7.434482523
992	7.434084191
993	7.433705425
994	7.433322738
995	7.432805797
996	7.432437851
997	7.432075636
998	7.431624789
999	7.4312484
